2024/01/22 12:54:25 [error] 183#183: *7045 connect() failed (111: Connection refused) while connecting to upstream, client: 171.244.43.14, server: elasticsearch.regiapriandi.com, request: "GET /robots.txt HTTP/1.1", upstream: "https://103.186.65.63:9200/robots.txt", host: "elasticsearch.regiapriandi.com"
2024/01/22 14:33:43 [error] 183#183: *9603 connect() failed (111: Connection refused) while connecting to upstream, client: 47.242.224.70, server: elasticsearch.regiapriandi.com, request: "GET / HTTP/1.1", upstream: "https://103.186.65.63:9200/", host: "elasticsearch.regiapriandi.com"
2024/01/22 16:10:26 [error] 183#183: *12289 connect() failed (111: Connection refused) while connecting to upstream, client: 92.205.8.138, server: elasticsearch.regiapriandi.com, request: "GET /wp-login.php HTTP/1.1", upstream: "https://103.186.65.63:9200/wp-login.php", host: "elasticsearch.regiapriandi.com"
2024/01/22 17:41:48 [error] 183#183: *15046 connect() failed (111: Connection refused) while connecting to upstream, client: 47.88.90.156, server: elasticsearch.regiapriandi.com, request: "GET / HTTP/1.1", upstream: "https://103.186.65.63:9200/", host: "elasticsearch.regiapriandi.com"
2024/01/22 17:41:50 [error] 183#183: *15050 connect() failed (111: Connection refused) while connecting to upstream, client: 47.88.78.6, server: elasticsearch.regiapriandi.com, request: "GET /Public/home/js/check.js HTTP/1.1", upstream: "https://103.186.65.63:9200/Public/home/js/check.js", host: "elasticsearch.regiapriandi.com"
2024/01/22 17:41:51 [error] 183#183: *15052 connect() failed (111: Connection refused) while connecting to upstream, client: 47.88.86.63, server: elasticsearch.regiapriandi.com, request: "GET /static/admin/javascript/hetong.js HTTP/1.1", upstream: "https://103.186.65.63:9200/static/admin/javascript/hetong.js", host: "elasticsearch.regiapriandi.com"
2024/01/22 18:15:09 [error] 183#183: *15666 connect() failed (111: Connection refused) while connecting to upstream, client: 154.28.229.223, server: elasticsearch.regiapriandi.com, request: "GET / HTTP/1.1", upstream: "https://103.186.65.63:9200/", host: "elasticsearch.regiapriandi.com"
2024/01/22 18:15:10 [error] 183#183: *15668 connect() failed (111: Connection refused) while connecting to upstream, client: 104.164.173.163, server: elasticsearch.regiapriandi.com, request: "GET / HTTP/1.1", upstream: "https://103.186.65.63:9200/", host: "elasticsearch.regiapriandi.com"
2024/01/22 18:15:21 [error] 183#183: *15672 connect() failed (111: Connection refused) while connecting to upstream, client: 195.211.77.140, server: elasticsearch.regiapriandi.com, request: "HEAD / HTTP/1.1", upstream: "https://103.186.65.63:9200/", host: "elasticsearch.regiapriandi.com"
2024/01/22 18:15:24 [error] 183#183: *15674 connect() failed (111: Connection refused) while connecting to upstream, client: 2.58.56.121, server: elasticsearch.regiapriandi.com, request: "GET /.git/config HTTP/1.1", upstream: "https://103.186.65.63:9200/.git/config", host: "elasticsearch.regiapriandi.com"
2024/01/22 18:30:23 [error] 183#183: *15948 connect() failed (111: Connection refused) while connecting to upstream, client: 171.67.70.229, server: elasticsearch.regiapriandi.com, request: "GET / HTTP/1.1", upstream: "https://103.186.65.63:9200/", host: "elasticsearch.regiapriandi.com"
2024/01/22 18:36:49 [error] 183#183: *16063 connect() failed (111: Connection refused) while connecting to upstream, client: 5.164.29.116, server: elasticsearch.regiapriandi.com, request: "GET / HTTP/1.1", upstream: "https://103.186.65.63:9200/", host: "elasticsearch.regiapriandi.com"
2024/01/22 18:36:50 [error] 183#183: *16063 connect() failed (111: Connection refused) while connecting to upstream, client: 5.164.29.116, server: elasticsearch.regiapriandi.com, request: "GET /favicon.ico HTTP/1.1", upstream: "https://103.186.65.63:9200/favicon.ico", host: "elasticsearch.regiapriandi.com"
2024/01/22 22:31:40 [error] 183#183: *20398 connect() failed (111: Connection refused) while connecting to upstream, client: 171.67.70.233, server: elasticsearch.regiapriandi.com, request: "GET / HTTP/1.1", upstream: "https://103.186.65.63:9200/", host: "elasticsearch.regiapriandi.com"
2024/01/23 03:24:32 [error] 183#183: *26513 connect() failed (111: Connection refused) while connecting to upstream, client: 193.32.162.180, server: elasticsearch.regiapriandi.com, request: "GET /.git/config HTTP/1.1", upstream: "https://103.186.65.63:9200/.git/config", host: "elasticsearch.regiapriandi.com"
2024/01/23 04:58:11 [error] 183#183: *28240 connect() failed (111: Connection refused) while connecting to upstream, client: 104.234.204.32, server: elasticsearch.regiapriandi.com, request: "GET /.env HTTP/1.1", upstream: "https://103.186.65.63:9200/.env", host: "elasticsearch.regiapriandi.com"
2024/01/23 10:07:22 [error] 183#183: *34106 connect() failed (111: Connection refused) while connecting to upstream, client: 13.201.172.202, server: elasticsearch.regiapriandi.com, request: "GET / HTTP/1.1", upstream: "https://103.186.65.63:9200/", host: "elasticsearch.regiapriandi.com"
